setting,method_a,method_b,seed_values,paired_mean,paired_sd,ci95_low,ci95_high,status
CIFAR-10,DirBridge,FedBuff,NA,NA,NA,NA,NA,final_five_seed_evaluation_not_started
FEMNIST,DirBridge,FedBuff,NA,NA,NA,NA,NA,final_five_seed_evaluation_not_started
