comparison,factor_level,n,tail10_seed_values,mean_tail10,sd_tail10,paired_mean_vs_baseline,paired_sd_vs_baseline,t95_ci_low,t95_ci_high,wins,losses,ties,final_accuracy_mean,final_accuracy_sd,status
K0=7_vs_K0=7,K0=7,5,48.1950000763;47.0039997101;48.1840003967;47.3819999695;46.3519996643,47.4233999634,0.790472783572,0,0,0,0,0,0,5,47.1100006104,1.11711720953,exploratory_no_multiplicity_correction
K0=1_vs_K0=7,K0=1,5,23.6910001755;17.1950000763;28.0459999084;15.0670000553;31.5690004349,23.1136001301,6.99880975703,-24.3097998333,7.11558114225,-33.1449607639,-15.4746389027,0,5,0,19.1359998703,7.99043344218,exploratory_no_multiplicity_correction
K0=2_vs_K0=7,K0=2,5,43.6149993896;40.5159999847;45.1540000916;41.7720003128;42.4700000763,42.705399971,1.77081435962,-4.71799999237,1.36892712409,-6.41774751852,-3.01825246622,0,5,0,43.8299995422,1.5675613715,exploratory_no_multiplicity_correction
K0=4_vs_K0=7,K0=4,5,47.2370002747;45.8860004425;47.7550003052;46.2509998322;45.5090003967,46.5276002502,0.940141353155,-0.895799713135,0.286901771651,-1.25203531401,-0.539564112255,0,5,0,46.2459999084,1.74245012437,exploratory_no_multiplicity_correction
K0=12_vs_K0=7,K0=12,5,49.2989997864;49.1229999542;49.3260002136;49.686000061;47.2079998016,48.9283999634,0.98323877679,1.505,0.65748928381,0.688619227088,2.32138077291,5,0,0,49.5079994202,0.772411334237,exploratory_no_multiplicity_correction
K0=16_vs_K0=7,K0=16,5,48.9569999695;49.432000351;48.9619998932;48.6329994202;47.5,48.6967999268,0.727144297491,1.27339996338,0.681227059883,0.42754484852,2.11925507824,5,0,0,49.0279998779,0.819860418862,exploratory_no_multiplicity_correction
