comparison,factor_level,n,tail10_seed_values,mean_tail10,sd_tail10,paired_mean_vs_baseline,paired_sd_vs_baseline,t95_ci_low,t95_ci_high,wins,losses,ties,final_accuracy_mean,final_accuracy_sd,status
ds=2048_vs_ds=2048,ds=2048,5,48.1950000763;47.0039997101;48.1840003967;47.3819999695;46.3519996643,47.4233999634,0.790472783572,0,0,0,0,0,0,5,47.1100006104,1.11711720953,exploratory_no_multiplicity_correction
ds=128_vs_ds=2048,ds=128,5,48.9770004272;48.4959999084;46.1839996338;47.6920001984;43.6120002747,46.9922000885,2.16618935192,-0.431199874878,1.8379079363,-2.7132639914,1.85086424164,3,2,0,47.5099998474,1.70809716993,exploratory_no_multiplicity_correction
ds=512_vs_ds=2048,ds=512,5,46.5989997864;46.2919998169;47.8720001221;46.0770000458;46.2099998474,46.6099999237,0.731091393489,-0.813400039673,0.625818578119,-1.59045643753,-0.036343641816,0,5,0,46.4959999084,2.52070106161,exploratory_no_multiplicity_correction
ds=8192_vs_ds=2048,ds=8192,5,47.8549999237;47.5150005341;47.1779998779;47.4520004272;46.2909999847,47.2582001495,0.591942395408,-0.165199813843,0.561454611303,-0.862337791322,0.531938163637,2,3,0,48.1160003662,0.576089895123,exploratory_no_multiplicity_correction
