method,run_device,phase,path,ownership,kind,shape,dtype,device,storage_ptr,storage_offset,storage_bytes,logical_bytes,unique_physical_bytes,alias_of,python_shallow_bytes
CA2FL,cpu,init,state.dict_users.4,shared,list_metadata,,,,,,0,0,0,,64
CA2FL,cpu,init,state.dict_users.5,shared,list_metadata,,,,,,0,0,0,,64
CA2FL,cpu,init,state.num_samples,shared,list_metadata,,,,,,0,0,0,,104
CA2FL,cpu,init,state.delta,shared,list_metadata,,,,,,0,0,0,,120
CA2FL,cpu,init,state.delta[0].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792444998656,0,32,32,32,,0
CA2FL,cpu,init,state.delta[1].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792447298112,0,32,32,32,,0
CA2FL,cpu,init,state.delta[2].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792348919296,0,32,32,32,,0
CA2FL,cpu,init,state.delta[3].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792446959360,0,32,32,32,,0
CA2FL,cpu,init,state.delta[4].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792446686400,0,32,32,32,,0
CA2FL,cpu,init,state.delta[5].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792447854784,0,32,32,32,,0
CA2FL,cpu,init,state.cost,shared,list_metadata,,,,,,0,0,0,,120
CA2FL,cpu,init,state.client_delay_groups,method_owned,list_metadata,,,,,,0,0,0,,104
CA2FL,cpu,init,state.client_delay_group_probs,method_owned,list_metadata,,,,,,0,0,0,,88
CA2FL,cpu,init,state.cache,method_owned,list_metadata,,,,,,0,0,0,,120
CA2FL,cpu,init,state.cache[0].weight,method_owned,tensor,"(2, 4)",torch.float32,cpu,94792446548800,0,32,32,32,,0
CA2FL,cpu,init,state.cache[1].weight,method_owned,tensor,"(2, 4)",torch.float32,cpu,94792444944192,0,32,32,32,,0
CA2FL,cpu,init,state.cache[2].weight,method_owned,tensor,"(2, 4)",torch.float32,cpu,94792447149568,0,32,32,32,,0
CA2FL,cpu,init,state.cache[3].weight,method_owned,tensor,"(2, 4)",torch.float32,cpu,94792447857536,0,32,32,32,,0
CA2FL,cpu,init,state.cache[4].weight,method_owned,tensor,"(2, 4)",torch.float32,cpu,94792447854464,0,32,32,32,,0
CA2FL,cpu,init,state.cache[5].weight,method_owned,tensor,"(2, 4)",torch.float32,cpu,94792445000256,0,32,32,32,,0
CA2FL,cpu,init,state.cache_mean.weight,method_owned,tensor,"(2, 4)",torch.float32,cpu,94792446721664,0,32,32,32,,0
CA2FL,cpu,after5,state.net_glob.weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792447300096,0,32,32,32,,0
CA2FL,cpu,after5,state.w_glob.weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792447149888,0,32,32,32,,0
CA2FL,cpu,after5,state.dataset_train,shared,list_metadata,,,,,,0,0,0,,104
CA2FL,cpu,after5,state.dict_users.0,shared,list_metadata,,,,,,0,0,0,,64
CA2FL,cpu,after5,state.dict_users.1,shared,list_metadata,,,,,,0,0,0,,64
