ds,seed,tail10,difference_vs_ds_2048
128,1,48.9770004272461,0.7820003509521527
128,2,48.49599990844727,1.4920001983642592
128,3,46.183999633789064,-2.0000007629394503
128,4,47.692000198364255,0.3100002288818331
128,5,43.6120002746582,-2.739999389648439
512,1,46.59899978637695,-1.5960002899169936
512,2,46.29199981689453,-0.7119998931884766
512,3,47.87200012207031,-0.3120002746582031
512,4,46.077000045776366,-1.304999923706056
512,5,46.20999984741211,-0.14199981689453267
2048,1,48.195000076293944,0.0
2048,2,47.00399971008301,0.0
2048,3,48.184000396728514,0.0
2048,4,47.38199996948242,0.0
2048,5,46.35199966430664,0.0
8192,1,47.85499992370605,-0.3400001525878906
8192,2,47.51500053405762,0.5110008239746122
8192,3,47.177999877929686,-1.0060005187988281
8192,4,47.45200042724609,0.07000045776366903
8192,5,46.29099998474121,-0.060999679565426845
