config,seed,B,threshold,tail10,simulated_wall_time,runtime_sec,completed_returned_updates,accepted_valid_updates,status
default_B10K7ds2048,1,10,,48.195000076293944,508.5670473333912,2858.719725137984,not_logged,not_logged,server_rounds=500
default_B10K7ds2048,2,10,,47.00399971008301,506.56218270650027,2670.052959529974,not_logged,not_logged,server_rounds=500
default_B10K7ds2048,3,10,,48.184000396728514,543.3782463190792,2648.411585833004,not_logged,not_logged,server_rounds=500
default_B10K7ds2048,4,10,,47.38199996948242,517.8807388925311,2730.8698736159713,not_logged,not_logged,server_rounds=500
default_B10K7ds2048,5,10,,46.35199966430664,507.4131120632363,2872.4809985280153,not_logged,not_logged,server_rounds=500
B5_rule,1,5,8,31.812999534606934,234.26091485942004,1599.7425577099784,not_logged,not_logged,server_rounds=500
B5_rule,2,5,8,31.545000267028808,233.50113851456402,1916.1049541020184,not_logged,not_logged,server_rounds=500
B5_rule,3,5,8,30.226999855041505,252.4320023359787,1903.0773263509618,not_logged,not_logged,server_rounds=500
B5_rule,4,5,8,30.491000366210937,238.44198148225428,1802.924811046978,not_logged,not_logged,server_rounds=500
B5_rule,5,5,8,23.352999687194824,238.4730013397704,1672.447855578037,not_logged,not_logged,server_rounds=500
B5_fixed,1,5,4,36.736000061035156,236.7355622305672,1971.3631752790534,not_logged,not_logged,server_rounds=500
B5_fixed,2,5,4,38.47599983215332,233.04665744290773,1749.500906262023,not_logged,not_logged,server_rounds=500
B5_fixed,3,5,4,36.557999801635745,251.6899708253338,1908.0285445509944,not_logged,not_logged,server_rounds=500
B5_fixed,4,5,4,38.71800003051758,239.57205991061107,1970.1653391409782,not_logged,not_logged,server_rounds=500
B5_fixed,5,5,4,34.91699981689453,238.66751917331507,2021.8625725330203,not_logged,not_logged,server_rounds=500
B20_rule,1,20,2,54.3259994506836,1157.587251023881,4746.231187514029,not_logged,not_logged,server_rounds=500
B20_rule,2,20,2,53.94800033569336,1145.9176154272088,5026.959839774994,not_logged,not_logged,server_rounds=500
B20_rule,3,20,2,55.219000244140624,1257.639782614034,4516.281703553046,not_logged,not_logged,server_rounds=500
B20_rule,4,20,2,54.12400016784668,1181.3216398926031,4705.197996972012,not_logged,not_logged,server_rounds=500
B20_rule,5,20,2,53.14200019836426,1157.4055306691414,4520.9134333130205,not_logged,not_logged,server_rounds=500
B20_fixed,1,20,4,54.62599983215332,1154.7018918153028,4202.724273856962,not_logged,not_logged,server_rounds=500
B20_fixed,2,20,4,54.751000595092776,1145.8259107621184,4872.054428683012,not_logged,not_logged,server_rounds=500
B20_fixed,3,20,4,54.973999404907225,1245.3017871600705,4887.758815406007,not_logged,not_logged,server_rounds=500
B20_fixed,4,20,4,53.98300018310547,1180.446732671567,4796.291003428982,not_logged,not_logged,server_rounds=500
B20_fixed,5,20,4,53.95200042724609,1151.1405591915966,4570.661959333986,not_logged,not_logged,server_rounds=500
