config,B,seed,raw_persistent_bias_l2_sq,raw_round_fluctuation_l2_sq,valid_persistent_bias_l2_sq,valid_round_fluctuation_l2_sq,status
default_B10K7ds2048,10,1,0.0007820000000000058,0.07581799999999998,0.0035783469072814163,0.09267332857772737,composition reconstructed from logged periodic counts
default_B10K7ds2048,10,2,0.00020600000000000016,0.06439400000000002,0.0033067579365079302,0.08853763296800209,composition reconstructed from logged periodic counts
default_B10K7ds2048,10,3,0.0008039999999999959,0.06779600000000001,0.006940890810027707,0.08986833065633663,composition reconstructed from logged periodic counts
default_B10K7ds2048,10,4,0.0024039999999999877,0.062196000000000015,0.006265136463844779,0.07603858613630637,composition reconstructed from logged periodic counts
default_B10K7ds2048,10,5,0.00035999999999999834,0.06423999999999999,0.007319414682539672,0.0938086370937264,composition reconstructed from logged periodic counts
B5_rule,5,1,0.00044000000000000067,0.14076000000000005,0.004452889999537226,0.2988861122680365,composition reconstructed from logged periodic counts
B5_rule,5,2,0.0013519999999999904,0.1526480000000001,0.007281944444444438,0.2551458333333331,composition reconstructed from logged periodic counts
B5_rule,5,3,0.002327999999999987,0.12927200000000008,0.014634944444444426,0.29514838888888884,composition reconstructed from logged periodic counts
B5_rule,5,4,0.0005839999999999978,0.12301599999999999,0.0025071666666666623,0.23117616666666663,composition reconstructed from logged periodic counts
B5_rule,5,5,0.005472,0.13732800000000003,0.013204046924892389,0.2538821208755611,composition reconstructed from logged periodic counts
B5_fixed,5,1,0.00031200000000000433,0.14568799999999998,0.01147940904893813,0.42622819329024314,composition reconstructed from logged periodic counts
B5_fixed,5,2,0.006023999999999981,0.14557599999999998,0.03804167436134194,0.38281797476146484,composition reconstructed from logged periodic counts
B5_fixed,5,3,0.00439199999999999,0.15680799999999998,0.03361808044603742,0.3612266029470335,composition reconstructed from logged periodic counts
B5_fixed,5,4,0.0018719999999999987,0.16092800000000004,0.03236583564173591,0.3790259772237612,composition reconstructed from logged periodic counts
B5_fixed,5,5,0.000679999999999994,0.12532000000000001,0.04037588504789671,0.38162524873895115,composition reconstructed from logged periodic counts
B20_rule,20,1,0.00020850000000000116,0.03319150000000001,0.0005396970540443144,0.036789422743810876,composition reconstructed from logged periodic counts
B20_rule,20,2,0.00035750000000000354,0.02749249999999999,0.0003628657419647555,0.029470395744445925,composition reconstructed from logged periodic counts
B20_rule,20,3,0.00047950000000000293,0.027520500000000017,0.0010907034875553522,0.029076738267140037,composition reconstructed from logged periodic counts
B20_rule,20,4,0.0009464999999999963,0.0285035,0.0018679189893581034,0.031178479553523045,composition reconstructed from logged periodic counts
B20_rule,20,5,0.0006860000000000008,0.031113999999999975,0.0016044458475726318,0.034407556466539584,composition reconstructed from logged periodic counts
B20_fixed,20,1,0.0002955000000000019,0.027354500000000007,0.0002955000000000019,0.027354500000000007,composition reconstructed from logged periodic counts
B20_fixed,20,2,0.0007994999999999999,0.029000499999999988,0.0007994999999999999,0.029000499999999988,composition reconstructed from logged periodic counts
B20_fixed,20,3,0.0003809999999999983,0.02756899999999999,0.0003809999999999983,0.02756899999999999,composition reconstructed from logged periodic counts
B20_fixed,20,4,0.0007725000000000044,0.0325775,0.0007725000000000044,0.0325775,composition reconstructed from logged periodic counts
B20_fixed,20,5,0.0012105000000000045,0.029789499999999997,0.0012105000000000045,0.029789499999999997,composition reconstructed from logged periodic counts
